iteration,timesteps,max_steps,iter_time_sec,eval_time_sec,elapsed_time_sec,timesteps_per_sec,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
10,2621440,0.0,162.73585892491974,264.4376486109104,1650.425946970936,1610.8557863755368,50,0.1,275.64,-316.7837621609727,21.991776433798435,86.67857142857143,0.56,17.58,0.0,0.98,44.38,62.94
20,5242880,0.0,167.2031900859438,284.86050632898696,3571.613048174884,1567.8169768486825,50,0.04,291.52,-119.02478630408645,10.055775577557757,80.125,0.16,10.68,0.0,0.04,17.28,28.0
30,7864320,0.0,164.2956802500412,282.4329654148314,5506.901039270917,1595.5623398073747,50,0.06,287.48,-76.57332169420086,7.506666666666668,132.2,0.2,10.86,0.0,0.02,11.64,22.52
40,10485760,0.0,166.08796655014157,294.440718135098,7441.08587566996,1578.3443282801547,50,0.12,277.0,-123.65426341903861,10.885,90.9090909090909,0.22,11.68,0.0,0.0,19.04,30.72
50,13107200,0.0,166.10376482084394,293.9394664191641,9392.010796420975,1578.1942106052988,50,0.06,289.72,-25.95809477581177,5.4131182795698916,114.0,0.18,10.0,0.0,0.0,3.88,13.88
60,15728640,0.0,165.83237369800918,305.8527590180747,11344.941050664987,1580.7769867503685,50,0.12,282.5,-55.031736588962374,7.135536771893509,142.53846153846155,0.26,16.58,0.0,0.02,3.76,20.36
70,18350080,0.0,163.83682484179735,298.43758270703256,13303.388024799991,1600.0310080052463,50,0.08,289.48,-202.40679359704257,14.169728971539747,111.29411764705883,0.34,13.48,0.0,0.24,28.26,41.98
80,20971520,0.0,165.35242464696057,299.6480892437976,15248.993979085004,1585.3653223392187,50,0.12,278.9,-40.89886896725744,5.288045977011494,99.18181818181819,0.22,10.86,0.0,0.1,4.46,15.42
90,23592960,0.0,165.25202024704777,299.2090764660388,17215.844212028896,1586.3285641416128,50,0.22,265.04,-115.75796838245354,10.873806306306308,88.73684210526316,0.38,20.58,0.0,0.16,10.26,31.0
100,26214400,0.0,165.38549463893287,300.24277138803154,19163.26599053503,1585.0483174011654,50,0.14,272.82,-201.4750027453387,14.791132245212697,133.66666666666666,0.48,20.56,0.0,0.06,22.78,43.4
110,28835840,0.0,176.60317134601064,299.54759248392656,21127.77276872308,1484.367455023744,50,0.2,261.84,-154.0774553766288,12.533533590211189,133.73684210526315,0.38,15.94,0.0,0.04,19.46,35.44
120,31457280,0.0,164.06412420305423,298.28513855091296,23068.80081745307,1597.8142770296147,50,0.1,278.98,-158.230454681539,10.74,132.1904761904762,0.42,6.9,0.0,0.22,25.1,32.22
130,34078720,0.0,163.80264733103104,309.75442492589355,24998.04415952298,1600.3648553385683,50,0.26,258.06,-199.49867947984953,16.30611003788238,101.48275862068965,0.58,13.48,1.36,0.76,26.54,42.14
140,36700160,0.0,163.04278887202963,295.78041457012296,26939.823787831003,1607.8233316148298,50,0.26,253.14,-333.3420367388753,22.987372696718644,110.36363636363636,0.66,14.96,6.12,1.32,42.96,65.36
150,39321600,0.0,163.36660974705592,292.4511824308429,28865.64590371889,1604.6363476960394,50,0.44,221.4,-447.151009488618,32.79732915259387,77.51282051282051,0.78,16.6,8.02,3.6,61.2,89.42
160,41943040,0.0,164.26791596016847,292.69677798706107,30820.45289326203,1595.8320190996058,50,0.36,236.24,-325.48044045704415,26.626214822478335,86.23255813953489,0.86,23.9,3.08,3.28,38.82,69.08
170,44564480,0.0,163.86694986489601,294.1118585220538,32760.529183238046,1599.7368610090737,50,0.4,224.16,-399.88313824009384,30.135961608228126,88.1219512195122,0.82,14.26,8.2,3.44,55.5,81.4
180,47185920,0.0,164.31885582697578,312.5310289650224,34705.11386112403,1595.337301253071,50,0.24,253.04,-537.0498798851622,34.90183734128856,84.55555555555556,0.9,9.66,8.56,5.14,77.94,101.3
190,49807360,0.0,164.85936296498403,293.2358098439872,36667.75269988901,1590.1068358227196,50,0.38,225.66,-395.97781657151876,28.636336268505623,87.70270270270271,0.74,10.3,12.38,2.28,53.58,78.54
200,52428800,0.0,161.87897727196105,294.49024928710423,38587.521210985025,1619.3826055596521,50,0.34,241.58,-452.3160274965537,34.500039449302534,74.43478260869566,0.92,9.44,9.86,4.58,64.1,87.98
210,55050240,0.0,162.13690736400895,634.6391237238422,40520.965802504914,1616.806464745673,50,0.32,234.26,-534.1454260691663,37.935079414886786,64.29545454545455,0.88,16.84,6.68,5.08,74.12,102.72
220,57671680,0.0,164.23145794006996,293.7267545128707,42798.84419691097,1596.1862805581347,50,0.42,215.78,-463.30481000933565,35.310510826229645,67.30952380952381,0.84,12.46,9.18,5.24,65.1,91.98
230,60293120,0.0,165.6110906819813,294.1872968659736,44745.032408108935,1582.8891586940174,50,0.34,240.68,-565.4305827428877,39.108437848694805,71.23404255319149,0.94,13.6,13.76,5.22,75.8,108.38
240,62914560,0.0,164.78283608308993,294.7106964539271,46683.589561762055,1590.845298158461,50,0.34,244.66,-454.74651412630686,33.61743961215468,77.34883720930233,0.86,11.5,1.88,5.0,70.5,88.88
250,65536000,0.0,166.03800866310485,304.90688110119663,48636.45270994096,1578.8192240482513,50,0.34,233.36,-491.7298852352891,37.587307829035964,72.0,0.9,15.0,17.36,7.34,58.92,98.62
260,68157440,0.0,166.1022424090188,314.486657256959,50588.02758069709,1578.2086755607006,50,0.3,243.66,-617.9386087540863,43.565932917776856,79.25531914893617,0.94,18.8,20.3,6.74,73.74,119.58
270,70778880,0.0,164.71591273904778,308.68799810810015,52551.31617284706,1591.4916515400869,50,0.38,224.48,-552.3218160993886,40.898831924770874,59.22727272727273,0.88,16.98,14.76,6.68,71.06,109.48
280,73400320,0.0,166.06940096593462,300.0989269770216,54523.38220188301,1578.5207779112354,50,0.36,234.6,-591.9701534398214,43.68206934319156,75.1063829787234,0.94,14.1,27.0,6.6,68.98,116.68
290,76021760,0.0,164.9318034159951,316.65887536108494,56467.41871508397,1589.408437733588,50,0.34,241.8,-630.3888002393325,44.904616284237036,52.608695652173914,0.92,13.8,30.18,7.94,73.58,125.5
300,78643200,0.0,164.8377081451472,330.740296425065,58429.87456286908,1590.315729027063,50,0.36,224.34,-588.5355518372706,42.12511230050749,68.27272727272727,0.88,12.22,18.18,7.66,77.14,115.2
310,81264640,0.0,165.03332269215025,294.72171202208847,60409.468853551894,1588.430722497165,50,0.24,252.94,-720.5905791208078,48.234207361547114,59.04255319148936,0.94,18.12,17.58,8.22,92.42,136.34
320,83886080,0.0,163.0465759129729,324.1105939198751,62348.325322560966,1607.7859871152457,50,0.36,225.4,-570.0781236746371,40.93415608878971,52.854166666666664,0.96,8.24,18.08,8.14,76.64,111.1
330,86507520,0.0,162.20169105101377,299.5573148780968,64316.81855201605,1616.1607089383153,50,0.34,237.36,-600.4254033315333,44.75085773520411,56.708333333333336,0.96,16.58,30.34,10.44,64.66,122.02
340,89128960,0.0,164.36561132408679,303.78783968114294,66254.24295161408,1594.8834910674796,50,0.34,225.62,-585.3940796958981,42.7407119741475,53.15555555555556,0.9,11.34,28.68,8.5,67.08,115.6
350,91750400,0.0,165.83257046691142,301.1636228649877,68215.83440835797,1580.7751110769016,50,0.36,223.76,-638.3999738786043,45.966525376978595,59.022222222222226,0.9,13.18,21.78,8.18,81.24,124.38
360,94371840,0.0,164.63511839299463,341.67745231604204,70160.61129238992,1592.2726727978254,50,0.32,246.6,-638.8160962877399,43.91113474987332,63.130434782608695,0.92,10.76,19.46,10.36,84.26,124.84
370,96993280,0.0,163.85231522796676,303.41718020197004,72145.0864622409,1599.8797431411367,50,0.36,228.04,-596.8034940057038,43.95794606549366,49.28888888888889,0.9,8.86,24.84,8.44,75.9,118.04
380,99614720,0.0,169.43122136499733,317.09509994694963,74095.40651829494,1547.2000844240868,50,0.42,217.6,-529.8155441999016,41.78965714269065,56.24444444444445,0.9,18.34,20.34,8.18,61.38,108.24
381,99876864,0.0,163.80912861600518,293.25490799802355,74576.43365279492,1600.3015351757806,50,0.46,207.54,-574.4349241244839,47.15323283987151,45.38775510204081,0.98,11.84,12.54,7.82,82.02,114.22
