rollout_id,seed,success,episode_length,episode_reward,collision_count,oob_count,speed_count,fall_count,total_violations,violations_per_100_steps,time_to_failure,max_steps
0,0,0.0,300.0,-6.961786013096571,0.0,0.0,7.0,103.0,110.0,36.666666666666664,104.0,0.0
1,1,0.0,300.0,-7.351017236709595,0.0,0.0,0.0,169.0,169.0,56.333333333333336,132.0,0.0
2,2,1.0,44.0,100.79397939145565,16.0,0.0,0.0,0.0,16.0,36.36363636363637,29.0,0.0
