iteration,timesteps,max_steps,iter_time_sec,eval_time_sec,elapsed_time_sec,timesteps_per_sec,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
10,2621440,0.0,164.03298121294938,264.8277230220847,1639.8661503251642,1598.1176350119604,50,0.12,251.18,-78.08025022650138,10.493662173220043,79.29411764705883,0.34,26.68,0.0,0.02,0.12,26.82
20,5242880,0.0,162.35004157293588,275.3997487400193,3546.299263659166,1614.6839105195525,50,0.06,268.7,23.838720778878777,1.8165829669627138,76.75,0.16,4.94,0.0,0.0,0.12,5.06
30,7864320,0.0,163.08157416596077,280.9609920110088,5435.791815413162,1607.4409469044483,50,0.02,283.84,23.107550182789563,1.2892564881926583,130.4,0.1,3.6,0.0,0.0,0.06,3.66
40,10485760,0.0,163.08308037905954,294.27859874395654,7336.4502816600725,1607.4261007989903,50,0.08,284.82,-47.74470688347705,6.466920415224913,117.875,0.16,19.38,0.0,0.0,0.02,19.4
50,13107200,0.0,159.04347222298384,289.8314977809787,9230.602491150144,1648.2537531151613,50,0.1,277.5,-19.479775983691216,4.713693693693694,122.83333333333333,0.12,14.06,0.0,0.0,0.02,14.08
60,15728640,0.0,160.07710896921344,300.48196987085976,11128.49498375901,1637.6107845027136,50,0.1,261.56,-60.22137890182435,7.85459081452795,126.07142857142857,0.28,20.0,0.0,0.0,0.1,20.1
70,18350080,0.0,159.66342311701737,286.3392581450753,13034.743381098146,1641.853812741285,50,0.34,204.42,-47.32022234936012,9.221921026752778,94.44444444444444,0.54,18.9,0.0,0.6,0.18,19.68
80,20971520,0.0,161.40671387990005,290.4495947191026,14932.019410967128,1624.1207921193218,50,0.26,216.16,-49.863810104490256,8.140690475973464,110.23076923076923,0.52,18.12,0.0,0.1,0.2,18.42
90,23592960,0.0,160.08943622279912,288.58272773004137,16842.62581460504,1637.4846847181711,50,0.28,208.22,-22.986485366038977,6.722447674841572,90.86111111111111,0.72,11.76,0.02,1.38,0.34,13.5
100,26214400,0.0,159.65119242598303,286.1437595479656,18726.932305274997,1641.9795932406478,50,0.2,208.24,-27.39174372375477,5.225101043629499,117.42857142857143,0.7,9.24,0.04,1.8,0.32,11.4
