iteration,timesteps,max_steps,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
5,327680,0.0,50,0.2,265.86,-352.92701626259833,21.142098870986846,116.75,0.48,55.5,0.0,0.0,4.64,60.14
10,655360,0.0,50,0.02,296.98,-383.02577342696486,21.18738255033557,163.65384615384616,0.52,63.38,0.0,0.0,0.02,63.4
15,983040,0.0,50,0.0,300.0,-9.078024948239326,0.3266666666666667,63.333333333333336,0.06,0.96,0.0,0.0,0.02,0.98
20,1310720,0.0,50,0.0,300.0,-1.9417724142223596,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1638400,0.0,50,0.0,300.0,-18.650572057552637,0.88,31.0,0.02,2.64,0.0,0.0,0.0,2.64
30,1966080,0.0,50,0.0,300.0,-3.699965260066092,0.006666666666666666,20.0,0.02,0.0,0.0,0.0,0.02,0.02
