iteration,timesteps,max_steps,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
5,327680,0.0,50,0.32,237.74,29.310759246759115,38.0843409585358,70.19047619047619,0.84,15.9,6.58,0.82,80.28,103.58
10,655360,0.0,50,0.5,193.62,47.73899826265872,43.423940130254806,60.829787234042556,0.94,22.1,1.74,3.3,79.32,106.46
15,983040,0.0,50,0.5,192.82,47.29580871235579,38.46893572423795,47.891304347826086,0.92,11.32,12.66,3.38,70.46,97.82
20,1310720,0.0,50,0.4,202.26,36.13353318203241,51.95382438701775,34.541666666666664,0.96,15.8,18.86,8.6,92.7,135.96
25,1638400,0.0,50,0.36,224.7,31.580888310670854,47.31502624631784,53.625,0.96,17.38,24.78,8.32,80.86,131.34
30,1966080,0.0,50,0.2,263.28,14.684649867974223,57.89741866797128,44.1,1.0,10.84,29.94,14.8,108.6,164.18
