iteration,timesteps,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
2,16384,50,0.14,282.68,-1254.7693343430385,20.81753347341469,97.8974358974359,0.78,34.04,0.04,0.22,23.04,57.34
4,32768,50,0.12,284.66,-1772.8845796558262,29.140584799987373,87.64864864864865,0.74,47.68,0.0,0.72,32.8,81.2
6,49152,50,0.1,283.18,-1538.0984147721902,23.79000185999597,83.08333333333333,0.72,28.5,0.0,1.06,38.68,68.24
8,65536,50,0.22,272.5,-920.1033801453932,17.91420920548535,112.82857142857142,0.7,30.12,0.0,0.34,13.0,43.46
10,81920,50,0.06,292.0,-1112.6431846225637,18.11425811870101,97.66666666666669,0.54,42.58,0.0,0.16,10.4,53.14
12,98304,50,0.0,300.0,-282.49665929924697,3.726666666666666,122.6,0.1,0.06,0.0,0.0,11.12,11.18
14,114688,50,0.0,300.0,-695.217839673385,11.54,47.11111111111112,0.18,34.62,0.0,0.0,0.0,34.62
16,131072,50,0.0,300.0,-64.96988049775362,1.0333333333333334,53.75,0.08,3.1,0.0,0.0,0.0,3.1
18,147456,50,0.0,300.0,-348.08805013448,5.753333333333333,194.23076923076923,0.26,17.26,0.0,0.0,0.0,17.26
20,163840,50,0.0,300.0,-328.7701160426438,4.946666666666667,115.57142857142856,0.14,9.02,0.0,0.0,5.82,14.84
22,180224,50,0.0,300.0,-96.97711940582842,1.5666666666666669,66.0,0.02,4.7,0.0,0.0,0.0,4.7
24,196608,50,0.0,300.0,-3.1501684799045324,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
