iteration,timesteps,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
2,16384,50,0.06,289.52,-0.5600241816416383,30.07582415791011,94.27272727272727,0.66,70.78,0.0,0.06,15.62,86.46
4,32768,50,0.12,280.76,2.8578515511751177,17.24276441646154,83.42307692307692,0.52,41.48,0.0,0.0,7.48,48.96
6,49152,50,0.16,278.56,4.410874666720629,22.582082742286545,79.0,0.68,40.12,0.0,0.0,20.74,60.86
8,65536,50,0.1,277.14,1.4410846113041043,22.02936868686869,69.48387096774194,0.62,39.46,0.0,0.3,23.6,63.36
10,81920,50,0.18,266.98,5.337619960308075,41.99884898537249,61.95,0.8,54.06,3.24,0.18,59.42,116.9
12,98304,50,0.04,292.76,-1.9603280253335833,22.882723133627234,69.75862068965517,0.58,34.7,1.12,0.32,30.18,66.32
14,114688,50,0.14,274.74,3.252136362455785,28.996458819258436,58.24324324324324,0.74,54.7,0.0,0.2,23.32,78.22
16,131072,50,0.14,281.84,2.7161670228466392,35.549689485332586,56.523809523809526,0.84,52.76,0.36,0.72,47.32,101.16
18,147456,50,0.06,290.54,-1.6403018291294575,18.07283860626304,55.513513513513516,0.74,40.66,0.0,0.36,11.1,52.12
20,163840,50,0.2,266.04,6.473948100581765,34.55388492015817,60.10526315789474,0.76,37.78,0.22,0.24,54.9,93.14
22,180224,50,0.12,271.74,2.2779760036990044,30.12114439324117,64.16216216216216,0.74,27.86,1.94,0.92,56.7,87.42
24,196608,50,0.2,259.0,6.346214807927608,39.399592640894205,73.5,0.8,49.3,2.62,1.08,50.26,103.26
