iteration,timesteps,violations_per_100_steps_mean,violations_per_100_steps_std,success_rate_mean,success_rate_std,avg_time_to_failure_mean,avg_time_to_failure_std,mean_episode_length_mean,mean_episode_length_std,avg_collisions_per_episode_mean,avg_collisions_per_episode_std,avg_episode_reward_mean,avg_episode_reward_std
2,16384,0.7096261610297212,0.4046414299027832,0.0,0.0,56.259090909090915,16.53330972849999,233.652,48.56111629688922,0.248,0.1852997571504075,-8.14026859626174,3.9071416130206575
4,32768,0.358411571561395,0.24713741460717986,0.0,0.0,46.64888888888889,30.754592631040236,273.772,13.85998903318469,0.084,0.04270831300812524,-4.860738994851709,0.8528802636976538
6,49152,0.21762285642534657,0.07189971122206858,0.0,0.0,61.10666666666666,49.00338945193259,278.696,12.495288071909345,0.10800000000000001,0.09765244492586962,-5.025989069007338,2.00746540197078
8,65536,0.18872990699010656,0.18152967949801876,0.0,0.0,105.71428571428571,80.78285330288293,285.54400000000004,10.055075534276204,0.068,0.04664761515876241,-4.719270121760666,0.9853648474180836
10,81920,0.13865584610744808,0.12151179389152451,0.0,0.0,54.916666666666664,43.57767649713427,286.5,15.631450348576099,0.05600000000000001,0.08522910301065006,-4.211849510841072,1.593783901398261
12,98304,0.24253218031396306,0.19643745005813032,0.0,0.0,75.05285714285715,48.10405125287033,280.64799999999997,11.46150147232027,0.068,0.03487119154832539,-4.568149530783295,0.6765090451594263
14,114688,0.5408746197275554,0.48290807459005936,0.0,0.0,74.20583333333335,44.79469940120644,256.796,30.62095073638308,0.16799999999999998,0.11702991070662234,-6.233833637379111,2.061064119182967
16,131072,0.2440260500543155,0.26336828628862413,0.0,0.0,51.17777777777778,22.499969821653288,282.456,15.92503136574619,0.06,0.06324555320336758,-4.370292094349861,1.055314547710046
18,147456,0.26047045713644923,0.15747969053917515,0.0,0.0,80.85505050505051,48.94104576545401,276.35600000000005,13.45687274220872,0.124,0.07939773296511683,-5.272772095024585,1.4960274059203884
20,163840,0.33225402765823464,0.361045818592567,0.008,0.016,104.84499999999998,27.894080315842405,265.37199999999996,46.12382048356359,0.128,0.15419468213917106,-5.444015686206519,2.4683117786974575
22,180224,0.28609042041174393,0.44846873048411656,0.0,0.0,108.74347826086957,49.722114944517045,272.492,40.92581698634738,0.11600000000000002,0.1656019323558756,-5.235890412896872,3.0287025253088267
24,196608,0.41587147536335073,0.5098288702757111,0.0,0.0,60.385858585858585,13.446744788748436,261.752,55.13681253028688,0.16,0.24298148077579904,-6.037196778461338,4.31505026113877
