iteration,timesteps,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
2,16384,50,0.2,256.06,-3665.229069107175,59.18251823366028,38.6875,0.96,27.2,15.2,7.88,112.3,162.58
4,32768,50,0.12,270.48,-3456.893131984696,52.90778906627964,51.5531914893617,0.94,27.8,14.36,6.82,104.06,153.04
6,49152,50,0.12,277.68,-3243.7351396349072,50.9305624822828,38.80851063829788,0.94,40.48,4.3,5.22,93.58,143.58
8,65536,50,0.1,277.8,-2569.869242714345,42.79980492009186,46.55555555555556,0.9,75.62,0.0,1.8,42.2,119.62
10,81920,50,0.08,285.12,-1578.4785538656265,26.417635018834787,57.8974358974359,0.78,51.44,0.0,0.86,21.94,74.24
12,98304,50,0.26,244.98,-1506.5096959072353,27.40314930500332,48.34285714285714,0.7,17.98,0.0,2.34,46.1,66.42
14,114688,50,0.12,271.22,-2451.619874855764,37.918219362380256,54.02127659574468,0.94,19.58,0.0,4.16,82.18,105.92
16,131072,50,0.18,265.54,-1860.5713655941188,29.78444966333432,72.04878048780488,0.82,32.46,0.0,1.6,48.56,82.62
18,147456,50,0.12,283.6,-1421.0147173342857,23.661550873635,64.89473684210526,0.76,44.62,0.0,0.88,21.16,66.66
20,163840,50,0.02,295.66,-1550.301058256328,24.442409638554217,92.6842105263158,0.76,44.04,0.0,1.46,26.52,72.02
22,180224,50,0.0,300.0,-1264.2924685470016,21.07333333333333,105.57142857142856,0.56,62.98,0.0,0.22,0.02,63.22
24,196608,50,0.02,295.8,-1345.8082138135285,22.5,100.3103448275862,0.58,62.62,0.0,0.3,3.6,66.52
