iteration,timesteps,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
2,16384,50,0.38,209.62,16.509774917550384,50.06572548270145,30.58333333333333,0.96,25.1,1.88,5.3,82.24,114.52
4,32768,50,0.4,208.14,16.552556101083756,51.66496739973384,34.78,1.0,13.76,17.06,11.82,84.94,127.58
6,49152,50,0.46,187.58,20.220820035897194,65.49310893573153,27.541666666666668,0.96,17.38,27.84,8.46,93.22,146.9
8,65536,50,0.46,194.48,20.078707535527645,54.91521739065972,28.42,1.0,20.72,26.94,10.18,58.06,115.9
10,81920,50,0.48,187.6,20.68532324384898,70.4846484150308,22.24,1.0,20.92,51.88,19.24,78.28,170.32
12,98304,50,0.5,169.26,21.938613696172837,72.23537616724441,22.18,1.0,12.86,58.2,15.8,72.2,159.06
14,114688,50,0.44,188.3,18.138468709699808,74.38665455505729,22.6530612244898,0.98,17.02,67.84,19.8,70.6,175.26
16,131072,50,0.4,201.7,15.87273923009634,70.71229639719667,27.693877551020407,0.98,17.28,51.46,19.74,79.06,167.54
18,147456,50,0.5,176.38,20.97766546152532,77.87258673030432,24.3,1.0,16.74,60.62,25.46,70.44,173.26
20,163840,50,0.64,150.2,29.551064994074405,63.15824923502623,18.62,1.0,17.36,38.18,21.98,45.0,122.52
22,180224,50,0.42,206.56,16.847403803020715,67.89409884184168,24.5,1.0,14.86,58.84,28.8,64.0,166.5
24,196608,50,0.46,186.74,19.61790704999119,59.6026732534767,24.9,1.0,13.44,35.1,23.58,55.44,127.56
