iteration,timesteps,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
2,16384,50,0.22,260.26,8.35206480048597,34.67083159374729,46.86046511627907,0.86,53.74,2.8,5.52,29.32,91.38
4,32768,50,0.16,270.36,4.329757047556341,29.05593720481696,41.29545454545455,0.88,51.94,3.94,5.26,16.7,77.84
6,49152,50,0.1,284.0,1.3488171169534326,36.60725316789014,69.26315789473684,0.76,94.04,0.0,1.4,9.64,105.08
8,65536,50,0.14,275.2,2.7719825929775834,27.42389075690745,61.02222222222223,0.9,33.52,2.04,7.58,34.04,77.18
10,81920,50,0.26,253.6,9.123820092640818,33.342968560223014,64.21739130434783,0.92,42.62,11.58,10.82,25.34,90.36
12,98304,50,0.24,251.04,8.085646867640316,45.44133444127719,49.775510204081634,0.98,84.66,5.5,9.3,23.7,123.16
14,114688,50,0.28,244.0,9.377135542333129,42.94173602758876,48.26,1.0,24.32,22.18,12.4,46.6,105.5
16,131072,50,0.22,248.74,6.938100518770516,46.960081909703504,36.76,1.0,24.78,14.68,13.76,70.58,123.8
18,147456,50,0.18,265.82,4.283514348864555,46.13531355330215,37.26,1.0,19.84,26.76,13.74,64.78,125.12
20,163840,50,0.3,239.64,11.445692825689912,46.962576178391686,37.88,1.0,27.46,13.94,11.22,66.06,118.68
22,180224,50,0.28,240.04,9.880413951203227,51.39242465739068,35.78,1.0,23.08,23.4,15.2,69.54,131.22
24,196608,50,0.4,217.92,16.224838645346463,51.960367986837525,36.81632653061224,0.98,23.48,35.18,15.52,55.96,130.14
