iteration,timesteps,max_steps,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
5,327680,0.0,50,0.3,247.54,26.969859080687165,37.313633657976304,76.84210526315789,0.76,37.44,0.7,0.36,63.14,101.64
10,655360,0.0,50,0.22,254.58,18.37028596870601,47.44421285261062,63.888888888888886,0.9,38.86,0.0,1.12,96.54,136.52
15,983040,0.0,50,0.28,243.88,24.263044980950653,48.53972899544451,71.5909090909091,0.88,31.14,6.16,2.6,98.88,138.78
20,1310720,0.0,50,0.5,196.46,47.595672714188694,27.273859860447647,75.08695652173913,0.92,21.78,1.36,1.62,39.54,64.3
25,1638400,0.0,50,0.54,179.2,51.68726875286549,32.78543861118022,53.11363636363637,0.88,16.8,6.02,2.62,57.32,82.76
30,1966080,0.0,50,0.6,157.96,57.98273330252618,29.398467959425915,59.282051282051285,0.78,14.9,2.02,2.34,45.66,64.92
