iteration,timesteps,max_steps,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
5,327680,0.0,50,0.34,240.34,31.408197477795184,12.788648068025006,61.18518518518518,0.54,23.28,0.0,0.16,1.96,25.4
10,655360,0.0,50,0.44,216.44,40.97567965950817,14.788561842646695,80.78125,0.64,19.0,2.54,1.2,13.06,35.8
15,983040,0.0,50,0.54,192.5,51.90179997388273,14.650125520236946,59.24242424242424,0.66,15.56,1.72,1.26,4.84,23.38
20,1310720,0.0,50,0.36,228.42,32.8018360363692,31.737902343320766,42.51111111111111,0.9,22.86,4.96,4.68,44.12,76.62
25,1638400,0.0,50,0.3,245.92,26.119648768678307,27.942123818191885,50.65909090909091,0.88,20.06,11.12,4.48,38.04,73.7
30,1966080,0.0,50,0.3,246.4,25.72612087432295,26.70405404610603,69.95238095238095,0.84,12.44,12.08,5.14,40.54,70.2
