iteration,timesteps,max_steps,iter_time_sec,eval_time_sec,elapsed_time_sec,timesteps_per_sec,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
10,2621440,0.0,170.10371779603884,280.9976550079882,1700.9791743109818,1541.0833072697515,50,0.0,300.0,-7.945139422025531,2.8266666666666667,64.0,0.04,5.5,0.0,0.0,2.98,8.48
20,5242880,0.0,171.35734774701996,298.9193741240306,3692.922505495022,1529.8089253050948,50,0.04,295.68,-125.53903653871268,11.97305164319249,82.83333333333333,0.24,16.32,0.0,0.02,17.02,33.36
30,7864320,0.0,170.73246026202105,303.5376261330093,5706.18086478702,1535.4080858302561,50,0.04,293.24,-56.02017587879673,7.172151898734178,66.33333333333333,0.12,14.56,0.0,0.0,4.44,19.0
40,10485760,0.0,170.2557680439786,325.5416335859918,7731.996655162016,1539.7070126416265,50,0.04,290.88,-2.8731154106371104,2.8266666666666667,92.5,0.08,0.46,0.0,0.0,8.02,8.48
50,13107200,0.0,171.6314626520034,319.9171813389985,9788.575595973001,1527.3656470056312,50,0.04,291.16,20.16415910396725,2.1333333333333333,87.66666666666667,0.12,6.36,0.0,0.02,0.02,6.4
60,15728640,0.0,173.6046582799754,341.4481594860554,11819.901760465,1510.0055643509033,50,0.0,300.0,-34.610310857836154,5.3933333333333335,117.625,0.16,11.58,0.0,0.0,4.6,16.18
70,18350080,0.0,173.96855046000564,328.14674264000496,13894.106380184996,1506.8470669373392,50,0.08,281.82,-131.87838700708002,11.24,89.81818181818181,0.22,15.24,0.0,0.0,18.48,33.72
80,20971520,0.0,174.74124994303565,333.358178969007,15967.329987380013,1500.1838437430029,50,0.1,287.52,-116.94704784786096,9.673333333333334,140.21428571428572,0.28,17.44,0.0,0.0,11.56,29.0
90,23592960,0.0,172.91061794001143,326.3722421100247,18060.316258635023,1516.0665268742875,50,0.16,267.34,-155.02447451747955,14.351111111111111,111.0,0.3,31.4,0.0,0.0,9.88,41.28
100,26214400,0.0,172.44165492698085,334.21068503998686,20127.35044265201,1520.189539534418,50,0.2,270.14,-192.33371003055944,15.534025064007546,111.85,0.4,20.72,0.0,0.12,23.82,44.66
110,28835840,0.0,174.3429601030075,352.06207944999915,22185.531882826996,1503.6110425400416,50,0.16,279.36,-131.18770648567005,11.165498719378428,103.0,0.44,13.46,0.0,0.3,16.7,30.46
120,31457280,0.0,173.46812389499974,335.45188449899433,24277.82248945802,1511.194069053723,50,0.14,286.42,-238.17733190278523,17.04043696447746,157.84,0.5,26.12,0.0,0.16,24.74,51.02
130,34078720,0.0,173.28052791103255,330.4749511340051,26347.722112020012,1512.8301094199842,50,0.22,263.22,-206.4074542501243,15.613939393939393,113.71428571428571,0.42,28.42,1.52,0.06,16.34,46.34
140,36700160,0.0,172.25097432197072,325.1211409449461,28424.25045166799,1521.8723785561972,50,0.3,241.08,-179.77797131950734,13.521758471413643,113.65217391304348,0.46,7.24,1.22,0.46,28.86,37.78
150,39321600,0.0,171.45574252604274,328.992166764976,30465.07398014702,1528.9310007227227,50,0.2,275.52,-479.24851914749013,31.0977360788087,103.33333333333333,0.78,16.82,9.06,1.96,62.46,90.3
160,41943040,0.0,172.40837818197906,327.03543291502865,32541.45562125597,1520.482953115561,50,0.34,238.82,-246.7121467891545,22.215776763415253,109.1842105263158,0.76,13.38,0.4,1.26,35.08,50.12
