iteration,timesteps,max_steps,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
5,327680,0.0,50,0.06,63.16,0.5197691427543759,2.824539185298249,42.86363636363637,0.88,0.68,0.0,0.18,0.04,0.9
10,655360,0.0,50,0.14,92.98,9.557736350782216,1.8998135864670735,66.43243243243244,0.74,0.42,0.0,0.28,0.08,0.78
15,983040,0.0,50,0.1,111.06,4.011537802442908,1.6987447929568236,70.13888888888889,0.72,0.4,0.0,0.22,0.1,0.72
20,1310720,0.0,50,0.22,86.94,17.18807582743466,2.209788509888164,51.484848484848484,0.66,0.46,0.0,0.1,0.1,0.66
25,1638400,0.0,50,0.06,228.36,2.8557014395669102,0.6648066092296103,130.66666666666666,0.36,0.32,0.0,0.0,0.04,0.36
30,1966080,0.0,50,0.02,272.76,-1.5736284036189319,0.34227652358824573,41.6,0.1,0.1,0.0,0.0,0.0,0.1
