iteration,timesteps,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
2,16384,50,0.0,300.0,-1299.524179923497,20.513333333333332,72.7,0.4,48.44,0.0,0.0,13.1,61.54
4,32768,50,0.0,300.0,-1755.3900519267845,27.619999999999997,96.16666666666669,0.48,63.8,0.0,0.0,19.06,82.86
6,49152,50,0.0,300.0,-1461.098668507114,23.206666666666663,87.94117647058823,0.34,56.42,0.0,0.0,13.2,69.62
8,65536,50,0.0,300.0,-1945.987105447315,29.773333333333333,88.86363636363636,0.44,57.96,0.0,0.0,31.36,89.32
10,81920,50,0.0,300.0,-1804.1566356804967,26.919999999999995,106.6842105263158,0.38,43.5,0.0,0.0,37.26,80.76
12,98304,50,0.0,300.0,-747.5950757579506,11.98666666666667,74.29411764705883,0.34,30.9,0.0,0.0,5.06,35.96
14,114688,50,0.0,300.0,-1187.2379671930148,19.326666666666664,45.125,0.32,53.08,0.0,0.0,4.9,57.98
16,131072,50,0.0,300.0,-1590.0863638875633,25.793333333333337,77.83333333333333,0.6,69.56,0.0,0.0,7.82,77.38
18,147456,50,0.02,296.12,-1849.2986865426967,30.613962264150945,69.08333333333333,0.72,76.1,0.0,0.0,12.96,89.06
20,163840,50,0.0,300.0,-1349.115791719146,20.64666666666667,75.25,0.4,40.56,0.0,0.0,21.38,61.94
22,180224,50,0.0,300.0,-2188.275575237945,33.57333333333334,81.44827586206897,0.58,66.7,0.0,0.0,34.02,100.72
24,196608,50,0.0,300.0,-1798.1062247556076,28.773333333333333,54.40909090909091,0.44,72.72,0.0,0.0,13.6,86.32
