iteration,timesteps,max_steps,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
5,327680,0.0,50,0.26,242.92,-154.68092542625965,14.165137591846213,109.57142857142857,0.42,17.0,0.0,0.04,9.58,26.62
10,655360,0.0,50,0.12,270.48,-314.4812989690155,17.99584248077386,90.77272727272727,0.44,14.7,0.0,0.12,29.2,44.02
15,983040,0.0,50,0.08,282.24,-268.36032736506314,15.896030125426613,55.13333333333333,0.3,28.84,0.0,0.0,12.54,41.38
20,1310720,0.0,50,0.06,287.16,-59.736243879310784,5.985098814229249,63.22222222222222,0.18,10.52,0.0,0.0,0.0,10.52
25,1638400,0.0,50,0.0,300.0,-163.17376596570014,7.413333333333334,63.0,0.06,8.72,0.0,0.0,13.52,22.24
30,1966080,0.0,50,0.0,300.0,-252.0623228342086,11.153333333333332,42.6,0.1,9.32,0.0,0.0,24.14,33.46
