iteration,timesteps,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
2,16384,50,0.0,275.9,-4.8904152658954265,0.25527085410435363,59.0,0.1,0.08,0.0,0.0,0.02,0.1
4,32768,50,0.0,252.32,-6.315352400355041,0.5900680232718429,35.111111111111114,0.18,0.14,0.0,0.0,0.04,0.18
6,49152,50,0.0,288.96,-3.679761426709592,0.17422867513611615,24.0,0.04,0.04,0.0,0.0,0.0,0.04
8,65536,50,0.0,288.94,-5.913850401975214,0.06932458685179096,221.0,0.14,0.14,0.0,0.0,0.0,0.14
10,81920,50,0.0,259.3,-7.171424678340554,0.28959287358475455,115.0,0.22,0.22,0.0,0.0,0.0,0.22
12,98304,50,0.0,294.34,-3.8875290758162735,0.027094017094017094,158.5,0.04,0.04,0.0,0.0,0.0,0.04
14,114688,50,0.0,294.02,-3.8677576468139887,0.03130850842521323,150.5,0.04,0.04,0.0,0.0,0.0,0.04
16,131072,50,0.0,291.02,-4.155185807086528,0.05500910746812386,75.5,0.04,0.0,0.0,0.0,0.04,0.04
18,147456,50,0.0,273.96,-6.459223502352834,0.24604372076381564,137.25,0.16,0.16,0.0,0.0,0.0,0.16
20,163840,50,0.0,272.94,-6.375352785885334,0.3383593635920722,130.875,0.16,0.12,0.0,0.0,0.04,0.16
22,180224,50,0.0,282.88,-5.115155282020569,0.17974022991023905,128.8,0.1,0.1,0.0,0.0,0.0,0.1
24,196608,50,0.0,300.0,-3.1983221162483098,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
