iteration,timesteps,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
2,16384,50,0.0,300.0,-1609.8648151342197,26.41333333333333,82.61538461538461,0.52,74.94,0.0,0.0,4.3,79.24
4,32768,50,0.0,300.0,-187.1375603773445,3.0666666666666664,27.5,0.04,9.2,0.0,0.0,0.0,9.2
6,49152,50,0.0,300.0,-90.34354628343135,1.4533333333333338,31.555555555555557,0.18,4.36,0.0,0.0,0.0,4.36
8,65536,50,0.0,300.0,-4.531899605281651,0.02,13.666666666666666,0.06,0.0,0.0,0.0,0.06,0.06
10,81920,50,0.0,300.0,-8.311066528148949,0.07333333333333333,18.6,0.2,0.06,0.0,0.0,0.16,0.22
12,98304,50,0.0,300.0,-178.76439426265657,2.9000000000000004,25.066666666666666,0.3,8.36,0.0,0.0,0.34,8.7
14,114688,50,0.0,300.0,-239.55231732666493,3.92,15.25,0.24,11.5,0.0,0.0,0.26,11.76
16,131072,50,0.0,300.0,-474.71710580185055,7.826666666666666,36.73684210526316,0.38,18.86,4.3,0.0,0.32,23.48
18,147456,50,0.0,300.0,-145.74143710631878,2.3266666666666667,23.692307692307693,0.26,6.66,0.0,0.0,0.32,6.98
20,163840,50,0.0,300.0,-137.45167570795863,2.2133333333333334,17.583333333333332,0.24,6.38,0.0,0.0,0.26,6.64
22,180224,50,0.0,300.0,-1356.1243513249606,22.54,87.76470588235294,0.34,67.62,0.0,0.0,0.0,67.62
24,196608,50,0.0,300.0,-1543.795372502692,25.666666666666664,91.71428571428571,0.42,76.98,0.0,0.0,0.02,77.0
