x,y,max_steps
0.08650169521570206,-0.01306016743183136,0.0
0.08753321319818497,-0.00886983796954155,0.0
0.0719934031367302,-0.0044388361275196075,0.0
0.06323657184839249,0.001955617219209671,0.0
0.04633462429046631,0.02402782440185547,0.0
0.03870861232280731,0.015140561386942863,0.0
0.028095070272684097,0.010483899153769016,0.0
0.015588592737913132,-7.524876855313778e-05,0.0
0.006025439593940973,-0.0032043494284152985,0.0
0.008495006710290909,0.009886571206152439,0.0
0.009129174053668976,0.016164446249604225,0.0
0.010304576717317104,0.008376476354897022,0.0
0.01414531096816063,0.004125615581870079,0.0
0.011927062645554543,0.021744273602962494,0.0
0.005842665210366249,0.056496649980545044,0.0
-3.740651300176978e-05,0.09149115532636642,0.0
-0.0072809746488928795,0.11041725426912308,0.0
-0.005003126338124275,0.1277582347393036,0.0
-0.00027065788162872195,0.13815654814243317,0.0
0.0066805207170546055,0.14676986634731293,0.0
0.012370484881103039,0.14315657317638397,0.0
0.01956821233034134,0.13025008141994476,0.0
0.02090282365679741,0.10926985740661621,0.0
0.026070499792695045,0.09342160075902939,0.0
0.028995078057050705,0.08695755153894424,0.0
0.025036461651325226,0.0769299864768982,0.0
0.027813440188765526,0.06720160692930222,0.0
0.029828419908881187,0.06482327729463577,0.0
0.028516357764601707,0.052373167127370834,0.0
0.03534960374236107,0.04162612557411194,0.0
0.04222041741013527,0.04944150522351265,0.0
0.048138007521629333,0.0652494803071022,0.0
0.045686572790145874,0.07761422544717789,0.0
0.03215758129954338,0.09572640806436539,0.0
0.024250265210866928,0.11552461236715317,0.0
0.0178183875977993,0.13225018978118896,0.0
0.009927455335855484,0.1428801715373993,0.0
0.00016179066733457148,0.14779922366142273,0.0
0.0007093833992257714,0.1446867138147354,0.0
0.0017359202029183507,0.13502012193202972,0.0
-0.00042215679422952235,0.11533855646848679,0.0
0.006985760293900967,0.11556729674339294,0.0
0.015518879517912865,0.11511720716953278,0.0
0.01911194808781147,0.11420316994190216,0.0
0.01835653930902481,0.1076497808098793,0.0
0.017678851261734962,0.10986437648534775,0.0
0.014575347304344177,0.11606993526220322,0.0
0.009919210337102413,0.12088699638843536,0.0
0.004740727134048939,0.12029654532670975,0.0
0.002060594502836466,0.11947820335626602,0.0
0.000588770373724401,0.11821138113737106,0.0
-0.0019720837008208036,0.10947860777378082,0.0
-0.00013179858797229826,0.09834882616996765,0.0
0.002426178427413106,0.0835261270403862,0.0
0.011621332727372646,0.07694321125745773,0.0
0.032427702099084854,0.07838218659162521,0.0
0.04911905527114868,0.08051663637161255,0.0
0.05789899453520775,0.07635080069303513,0.0
0.06049279868602753,0.06661044806241989,0.0
0.05903768539428711,0.057673271745443344,0.0
0.05224977433681488,0.05227389559149742,0.0
0.045111242681741714,0.05864154174923897,0.0
0.03786352276802063,0.0738690122961998,0.0
0.029103152453899384,0.08374294638633728,0.0
0.01910313591361046,0.09269546717405319,0.0
0.01263382937759161,0.09861999750137329,0.0
0.007194092962890863,0.1042664423584938,0.0
0.011510965414345264,0.10466890782117844,0.0
0.02141045592725277,0.10335437208414078,0.0
0.029051735997200012,0.09577799588441849,0.0
0.0340266190469265,0.08890363574028015,0.0
0.03930279612541199,0.07862365990877151,0.0
0.042901135981082916,0.06613761186599731,0.0
0.041600532829761505,0.056499093770980835,0.0
0.03734248876571655,0.05039333924651146,0.0
0.03495549410581589,0.05309927463531494,0.0
0.025996534153819084,0.06450191140174866,0.0
0.018092680722475052,0.07928784191608429,0.0
0.007456963416188955,0.09506082534790039,0.0
0.0024888943880796432,0.10954410582780838,0.0
-0.0015054839896038175,0.1194162592291832,0.0
-0.00241281371563673,0.12230203300714493,0.0
0.006392684765160084,0.11740051209926605,0.0
0.019694004207849503,0.11217760294675827,0.0
0.02745693549513817,0.10557376593351364,0.0
0.03059244528412819,0.09767159819602966,0.0
0.030184434726834297,0.09296269714832306,0.0
0.026692362502217293,0.0900377556681633,0.0
0.025558454915881157,0.09198898822069168,0.0
0.022974994033575058,0.09774282574653625,0.0
0.018936898559331894,0.1068454459309578,0.0
0.013746177777647972,0.11103245615959167,0.0
0.012292162515223026,0.11016058921813965,0.0
0.01756890118122101,0.10721182823181152,0.0
0.024554796516895294,0.100429005920887,0.0
0.02945241518318653,0.09412743896245956,0.0
0.02967105433344841,0.09281688928604126,0.0
0.027813075110316277,0.09774230420589447,0.0
0.024163391441106796,0.10248977690935135,0.0
0.023192284628748894,0.10179708153009415,0.0
0.022920910269021988,0.102149099111557,0.0
0.020952165126800537,0.10204973071813583,0.0
0.02159396931529045,0.10197271406650543,0.0
0.023947635665535927,0.09945519268512726,0.0
0.022806275635957718,0.09468577802181244,0.0
0.020021477714180946,0.09043199568986893,0.0
0.021868903189897537,0.0932181105017662,0.0
0.02321818843483925,0.09848643094301224,0.0
0.02639278769493103,0.09971147775650024,0.0
0.02286464534699917,0.09193877875804901,0.0
0.02050059661269188,0.08860268443822861,0.0
0.017323525622487068,0.08789941668510437,0.0
0.011129156686365604,0.08906248956918716,0.0
0.006355229765176773,0.08869384229183197,0.0
0.009000159800052643,0.08185988664627075,0.0
0.007207494229078293,0.08478252589702606,0.0
0.0042721000500023365,0.08839231729507446,0.0
0.0025990072172135115,0.09277793765068054,0.0
-0.002244208473712206,0.09769456088542938,0.0
-0.007984031923115253,0.10317492485046387,0.0
-0.00881253182888031,0.10719975084066391,0.0
-0.0080335708335042,0.10785679519176483,0.0
-0.004212603904306889,0.10728038847446442,0.0
-0.0036761618684977293,0.10300147533416748,0.0
-0.0009759230306372046,0.10077614337205887,0.0
-0.0014207432977855206,0.10324963182210922,0.0
-0.0032278725411742926,0.10709080845117569,0.0
-0.0007533504976890981,0.10968787223100662,0.0
0.00011838144564535469,0.10855766385793686,0.0
-0.005117042921483517,0.10781816393136978,0.0
-0.0112879304215312,0.1077108308672905,0.0
-0.016586827114224434,0.1087932288646698,0.0
-0.02238084375858307,0.1101807951927185,0.0
-0.02975042350590229,0.10741517692804337,0.0
-0.026820369064807892,0.0990799218416214,0.0
-0.02257937751710415,0.09770350903272629,0.0
-0.01602971740067005,0.09636050462722778,0.0
-0.006801231764256954,0.09217675030231476,0.0
0.0034777012187987566,0.0845494195818901,0.0
0.0031513087451457977,0.08049853891134262,0.0
-0.006177248898893595,0.07801330834627151,0.0
-0.015019186772406101,0.08483774960041046,0.0
-0.027426747605204582,0.09323054552078247,0.0
-0.043220583349466324,0.1005404144525528,0.0
-0.06039746478199959,0.10307898372411728,0.0
-0.06967615336179733,0.10382295399904251,0.0
-0.070721335709095,0.10312149673700333,0.0
-0.06593717634677887,0.1026950255036354,0.0
-0.05151711776852608,0.10298653692007065,0.0
-0.030613381415605545,0.10915854573249817,0.0
-0.012229256331920624,0.11489734053611755,0.0
-0.0006106214714236557,0.12092938274145126,0.0
-0.0013033642899245024,0.1252773553133011,0.0
-0.02340105175971985,0.12769736349582672,0.0
-0.05031413584947586,0.13047102093696594,0.0
-0.0653509572148323,0.1463257521390915,0.0
-0.07602673023939133,0.15818235278129578,0.0
-0.09210645407438278,0.16475097835063934,0.0
-0.1051287055015564,0.1671123504638672,0.0
-0.10086997598409653,0.16118282079696655,0.0
-0.0920940414071083,0.15545795857906342,0.0
-0.07910946011543274,0.14678817987442017,0.0
-0.06555778533220291,0.14798948168754578,0.0
-0.05339467152953148,0.15035884082317352,0.0
-0.044537026435136795,0.14662383496761322,0.0
-0.04436197131872177,0.13333213329315186,0.0
-0.05074586346745491,0.13835299015045166,0.0
-0.05869973450899124,0.14779889583587646,0.0
-0.07337915897369385,0.15451399981975555,0.0
-0.08751824498176575,0.15723712742328644,0.0
-0.09531436115503311,0.1595304012298584,0.0
-0.10002853721380234,0.15285970270633698,0.0
-0.10067693889141083,0.14437854290008545,0.0
-0.0919155403971672,0.13176089525222778,0.0
-0.08488855510950089,0.11538740992546082,0.0
-0.07320907711982727,0.10165576636791229,0.0
-0.054865337908267975,0.09427335113286972,0.0
-0.035871461033821106,0.09368502348661423,0.0
-0.026899415999650955,0.09751792252063751,0.0
