iteration,timesteps,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
2,16384,50,0.0,278.0,-4.512153471373022,0.3409447004608295,25.0,0.08,0.08,0.0,0.0,0.0,0.08
4,32768,50,0.0,266.3,-5.122820453085005,0.6984126984126985,19.166666666666668,0.12,0.12,0.0,0.0,0.0,0.12
6,49152,50,0.0,289.12,-3.697846372127533,0.2262626262626263,28.0,0.04,0.04,0.0,0.0,0.0,0.04
8,65536,50,0.0,294.26,-3.2992308543249966,0.1538461538461538,13.0,0.02,0.02,0.0,0.0,0.0,0.02
10,81920,50,0.0,300.0,-2.929964613839984,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
12,98304,50,0.0,291.74,-3.850984339080751,0.0576626580326857,93.5,0.04,0.02,0.0,0.0,0.02,0.04
14,114688,50,0.0,287.26,-4.096127820983529,0.1814204314204314,87.66666666666667,0.06,0.04,0.0,0.0,0.02,0.06
16,131072,50,0.0,285.96,-4.03134495023638,0.1762949039264829,66.0,0.06,0.06,0.0,0.0,0.0,0.06
18,147456,50,0.0,294.56,-3.297762649059296,0.0714285714285714,28.0,0.02,0.02,0.0,0.0,0.0,0.02
20,163840,50,0.0,300.0,-2.924840823300183,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
22,180224,50,0.0,300.0,-2.9277442720904947,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
24,196608,50,0.0,279.6,-4.42969493035227,0.3041564357140315,45.0,0.08,0.06,0.0,0.0,0.02,0.08
