x,y
-0.05029766634106636,0.07377105206251144
-0.04156918451189995,0.06539888679981232
-0.02296287752687931,0.05441533401608467
-0.051747310906648636,0.03012772463262081
-0.11516380310058594,-0.00465434230864048
-0.14929646253585815,-0.02329389378428459
-0.18618807196617126,-0.01684984378516674
-0.20871931314468384,0.00565974460914731
-0.20168545842170715,0.019268285483121872
-0.171586811542511,0.008085702545940876
-0.13322481513023376,-0.007550111506134272
-0.11312317848205566,-0.05717134103178978
-0.07911455631256104,-0.04806046187877655
-0.05504252761602402,0.010676677338778973
-0.027766210958361626,0.09936851263046265
-0.00812529306858778,0.17967498302459717
0.002729383995756507,0.25376006960868835
-0.009765081107616425,0.29450592398643494
-0.04612859711050987,0.24458058178424835
-0.10773799568414688,0.19104629755020142
-0.2151261419057846,0.13173264265060425
-0.32814958691596985,0.08536900579929352
-0.41561952233314514,0.04158572852611542
-0.4621850848197937,0.026963233947753906
-0.5081714391708374,0.03351888433098793
-0.5744803547859192,0.04775291681289673
-0.6551884412765503,0.05626864358782768
-0.7389492392539978,0.05281755328178406
-0.830070972442627,0.036178190261125565
-0.9298012852668762,-0.0029079418163746595
-0.9830746054649353,-0.05061350390315056
-1.0178391933441162,-0.09653720259666443
-1.0253750085830688,-0.14501528441905975
-1.0377558469772339,-0.1795341670513153
-1.047811508178711,-0.18864187598228455
-1.0363826751708984,-0.16060377657413483
-1.0196553468704224,-0.11696293950080872
-1.017190933227539,-0.06413643062114716
-1.006535530090332,-0.007707794662564993
-0.9956591725349426,0.0327109657227993
-0.9953597784042358,0.059549279510974884
-0.9993644952774048,0.06900862604379654
-1.0122982263565063,0.11402121186256409
-1.039260745048523,0.08628097921609879
-1.0786960124969482,0.0014129761839285493
-1.0992976427078247,-0.06400797516107559
-1.1284970045089722,-0.10577479749917984
-1.1608080863952637,-0.11567551642656326
-1.193650484085083,-0.10951714962720871
-1.2233787775039673,-0.11099579930305481
-1.2847387790679932,-0.10413791984319687
-1.3398665189743042,-0.08601274341344833
-1.3822565078735352,-0.09658853709697723
-1.431715965270996,-0.12282408028841019
-1.4853209257125854,-0.13861620426177979
-1.555681586265564,-0.1488288938999176
-1.6205189228057861,-0.14816716313362122
-1.6817314624786377,-0.191142737865448
-1.724481225013733,-0.23647907376289368
-1.761704444885254,-0.27406176924705505
-1.7808661460876465,-0.3010022044181824
-1.7880185842514038,-0.3453899025917053
-1.7648684978485107,-0.3582786023616791
-1.7293412685394287,-0.3572874069213867
-1.7199872732162476,-0.3344130218029022
-1.7303506135940552,-0.332280695438385
-1.737821102142334,-0.3035030663013458
-1.744383692741394,-0.28189846873283386
-1.7735304832458496,-0.27056777477264404
-1.747117519378662,-0.2846827208995819
-1.7284969091415405,-0.27158626914024353
-1.716989517211914,-0.2756478190422058
-1.6969261169433594,-0.2777169346809387
-1.6569969654083252,-0.28875887393951416
-1.6091903448104858,-0.3051770031452179
-1.549725890159607,-0.34144526720046997
-1.5334652662277222,-0.3871576488018036
-1.559391736984253,-0.4261549413204193
-1.5964460372924805,-0.47666487097740173
-1.613097071647644,-0.48652228713035583
-1.6308300495147705,-0.4736875295639038
-1.6549088954925537,-0.4529471695423126
-1.6816974878311157,-0.43260982632637024
-1.7170957326889038,-0.3931337594985962
-1.745125412940979,-0.33122071623802185
-1.7959686517715454,-0.27874690294265747
-1.8423484563827515,-0.23707307875156403
-1.8822664022445679,-0.2210538685321808
-1.943665862083435,-0.21275094151496887
-2.038214683532715,-0.22379884123802185
-2.142782688140869,-0.23633016645908356
-2.2360734939575195,-0.23025214672088623
-2.31087064743042,-0.19039474427700043
-2.329125165939331,-0.1404523402452469
-2.302433729171753,-0.09087713807821274
-2.2418174743652344,-0.05240844190120697
-2.1863341331481934,-0.0046916245482862
-2.156029462814331,0.03893427178263664
-2.154367685317993,0.05375194177031517
-2.1309006214141846,0.08964766561985016
-2.1080048084259033,0.12891192734241486
-2.0742576122283936,0.1916360855102539
-2.0279295444488525,0.24177299439907074
-1.9883499145507812,0.25495579838752747
-1.9704968929290771,0.24498242139816284
-1.9541888236999512,0.24917493760585785
-1.9637479782104492,0.26160702109336853
-2.034672975540161,0.2825843393802643
-2.103679656982422,0.32922717928886414
-2.1371328830718994,0.373752236366272
-2.1285786628723145,0.38795846700668335
-2.108773946762085,0.40313848853111267
-2.082329273223877,0.4357885420322418
-2.069415807723999,0.4782731831073761
-2.0777816772460938,0.4921097755432129
-2.110334873199463,0.5102412104606628
-2.133223533630371,0.5640259981155396
-2.142224073410034,0.6432701945304871
-2.159742832183838,0.7242774963378906
-2.193221092224121,0.8670234084129333
-2.215366840362549,1.0050235986709595
-2.202350616455078,1.1424936056137085
-2.1674373149871826,1.2548257112503052
-2.123319387435913,1.3481346368789673
-2.1004981994628906,1.4497780799865723
-2.0608882904052734,1.543143630027771
-2.0230712890625,1.5568794012069702
-2.0197129249572754,1.5794810056686401
-2.0159521102905273,1.6042296886444092
-2.0157577991485596,1.633347749710083
-2.039311170578003,1.6677433252334595
-2.0710673332214355,1.7048612833023071
-2.158766269683838,1.7530441284179688
-2.278940439224243,1.8101862668991089
-2.359590530395508,1.8650983572006226
-2.4057538509368896,1.9199334383010864
-2.3991658687591553,1.98814058303833
-2.3435652256011963,2.091233253479004
-2.275012493133545,2.1802797317504883
-2.19635009765625,2.2117650508880615
-2.1310808658599854,2.2479300498962402
-2.075348377227783,2.298004150390625
-2.02761173248291,2.3541934490203857
-1.9965907335281372,2.402156114578247
-1.9929839372634888,2.4547905921936035
-2.014145851135254,2.5031380653381348
-2.0413637161254883,2.528033494949341
-2.0042688846588135,2.5573463439941406
-1.9295529127120972,2.6203126907348633
-1.8054065704345703,2.724144220352173
-1.705704927444458,2.8454644680023193
-1.6020565032958984,3.004471778869629
-1.483313798904419,3.115715742111206
-1.416501522064209,3.1243293285369873
-1.3612141609191895,3.124350070953369
-1.3443491458892822,3.071859359741211
-1.301672339439392,3.0452280044555664
-1.2433602809906006,3.032302141189575
-1.1712318658828735,3.040011405944824
-1.0948024988174438,3.0578014850616455
-1.0015697479248047,3.0457797050476074
-0.9001534581184387,3.017225503921509
-0.7937633991241455,2.982383966445923
-0.6648950576782227,2.933908700942993
-0.5328351855278015,2.860987424850464
-0.4342367351055145,2.7939717769622803
-0.37642988562583923,2.7263894081115723
-0.3445075452327728,2.6900711059570312
-0.3301454782485962,2.6815953254699707
-0.4098667800426483,2.77956485748291
-0.4529835283756256,2.8689231872558594
-0.47792190313339233,2.963521718978882
