metric,mean,std,max_steps
violations_per_100_steps,9.455024845918157,10.815224309264327,0.0
success_rate,0.05,0.0950263121456368,0.0
avg_time_to_failure,60.19222426972427,50.03053312124435,0.0
mean_episode_length,291.508,15.74656171994381,0.0
avg_collisions_per_episode,14.341,20.363980553909393,0.0
avg_episode_reward,-181.10454765260963,186.73970162743657,0.0
