iteration,timesteps,max_steps,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
5,327680,0.0,50,0.2,183.9,17.57840174637735,0.8270504794762933,78.85,0.4,0.4,0.0,0.0,0.0,0.4
10,655360,0.0,50,0.04,89.0,-0.9449586471542716,4.444323176795182,59.595238095238095,0.84,0.52,0.0,0.12,0.2,0.84
15,983040,0.0,50,0.1,55.7,6.114246833659709,2.5842931780768863,51.48888888888889,0.9,0.74,0.0,0.06,0.1,0.9
20,1310720,0.0,50,0.1,141.52,3.8931217461079357,1.4994113220563998,86.53125,0.64,0.5,0.0,0.02,0.12,0.64
25,1638400,0.0,50,0.1,147.26,5.432486520893872,1.0959161050856498,73.56666666666666,0.6,0.44,0.0,0.14,0.02,0.6
30,1966080,0.0,50,0.06,232.54,2.5849070608988405,0.5040986039665353,88.14285714285714,0.28,0.22,0.0,0.02,0.04,0.28
