iteration,timesteps,violations_per_100_steps_mean,violations_per_100_steps_std,success_rate_mean,success_rate_std,avg_time_to_failure_mean,avg_time_to_failure_std,mean_episode_length_mean,mean_episode_length_std,avg_collisions_per_episode_mean,avg_collisions_per_episode_std,avg_episode_reward_mean,avg_episode_reward_std,max_steps
5,327680,1.6574003276375826,0.7251810597898429,0.10400000000000001,0.062481997407253236,61.623030303030305,12.767610371612243,133.956,43.24757639452181,0.52,0.10658330075579384,6.404365765206516,7.130985638421985,0.0
10,655360,2.516393607019436,1.039834727101917,0.064,0.04079215610874228,62.05149667237902,9.767880640219078,98.896,17.829877845907973,0.54,0.07042726744663604,1.1617595119774342,4.28918061963046,0.0
15,983040,2.2659730946565957,0.7990903539866999,0.092,0.009797958971132715,60.513445165945164,17.159292531217,81.548,35.31894811570695,0.516,0.14277254638059797,4.501715086609126,2.161253572272229,0.0
20,1310720,2.2227099013072675,1.0558649369994528,0.10800000000000001,0.058787753826796275,63.95112523316792,25.20151192153382,98.992,40.4318539767842,0.4760000000000001,0.0813879597975032,5.721567617855966,6.737480115749222,0.0
25,1638400,2.142052315515355,1.534475707996784,0.05600000000000001,0.04963869458396343,68.3245443338075,36.10550557754419,122.128,67.76900129115081,0.34400000000000003,0.14221111067704945,1.4050783023014666,5.458553451665254,0.0
30,1966080,1.8892467748716952,1.5479232150062063,0.06000000000000001,0.048989794855663564,55.65647619047619,20.50390775121403,137.14000000000001,97.22292486857202,0.27199999999999996,0.1685704600456438,2.0098970540761947,4.231350251150535,0.0
