iteration,timesteps,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
2,16384,50,0.1,276.32,1.793102463968098,15.051994941786946,53.84615384615385,0.52,35.62,0.0,0.76,4.32,40.7
4,32768,50,0.12,272.96,2.08261777676642,29.359413155755863,41.829268292682926,0.82,50.4,0.0,1.6,31.08,83.08
6,49152,50,0.18,265.8,5.301005374789238,21.533370924387423,43.66666666666666,0.9,34.5,0.0,3.24,16.62,54.36
8,65536,50,0.24,249.54,7.76220056053251,26.935169674232743,36.22222222222222,0.9,19.58,8.38,7.04,34.38,69.38
10,81920,50,0.28,244.42,10.10807246360928,34.01045617243615,43.61702127659574,0.94,34.06,5.06,8.8,33.0,80.92
12,98304,50,0.16,268.6,2.748928250931203,46.50521017337597,35.61702127659574,0.94,29.18,34.58,12.28,51.2,127.24
14,114688,50,0.28,248.86,9.34886054944247,48.00402383029604,35.54347826086956,0.92,22.78,30.06,14.08,59.9,126.82
16,131072,50,0.26,262.42,7.656678204052151,50.57989769575167,32.2,1.0,30.98,22.66,14.74,68.16,136.54
18,147456,50,0.2,259.36,4.155149899423122,57.519767723264565,24.82,1.0,26.32,42.98,23.84,67.2,160.34
20,163840,50,0.2,267.74,3.860863011032343,62.294407823827314,25.24,1.0,25.24,40.06,20.18,89.5,174.98
22,180224,50,0.24,260.4,6.355825100205839,54.62077779394158,27.53061224489796,0.98,23.44,31.74,22.18,73.32,150.68
24,196608,50,0.26,254.28,6.962659596465528,67.79986118480286,29.32,1.0,16.52,60.02,24.96,88.14,189.64
