iteration,timesteps,max_steps,iter_time_sec,eval_time_sec,elapsed_time_sec,timesteps_per_sec,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
10,2621440,0.0,159.2198322089971,266.5143963730079,1595.7502387259738,1646.4280634079635,50,0.06,288.14,15.568879253314808,1.759332916406087,127.0,0.1,0.64,0.0,0.0,4.1,4.74
20,5242880,0.0,160.20490631600842,284.09150369704,3464.426712966,1636.3044430294415,50,0.02,296.22,-16.635103528015314,3.2,54.0,0.04,5.14,0.0,0.0,4.46,9.6
30,7864320,0.0,159.40893469797447,287.29237865598407,5354.410492413968,1644.474950520643,50,0.0,300.0,-34.893092562034724,5.413333333333332,28.0,0.06,11.18,0.0,0.0,5.06,16.24
40,10485760,0.0,160.44165821099887,302.4799900809885,7243.862049688003,1633.8898695203654,50,0.06,292.76,20.589738559834657,2.760080971659919,131.5,0.12,8.1,0.0,0.0,0.0,8.1
50,13107200,0.0,162.0869871309842,296.97253100801026,9148.998440354015,1617.3044156108515,50,0.1,284.6,-128.96477199936285,11.997762825904122,86.9090909090909,0.22,16.88,0.0,0.04,16.78,33.7
60,15728640,0.0,160.67263489594916,313.53511447197525,11041.129921542015,1631.541053457941,50,0.0,300.0,-44.67329456355423,5.366666666666666,137.5,0.12,11.28,0.0,0.0,4.82,16.1
70,18350080,0.0,160.08787024300545,302.07081002398627,12954.063866222976,1637.500702595883,50,0.08,284.66,-168.89002480924128,12.075000000000003,99.92857142857143,0.28,8.9,0.0,0.0,26.9,35.8
80,20971520,0.0,159.89734958996996,313.36428317200625,14849.802837238996,1639.4518150064682,50,0.02,296.18,-242.24947152989915,16.653333333333332,121.05,0.4,24.08,0.0,0.0,25.88,49.96
90,23592960,0.0,161.4481240720488,302.77550016797613,16780.620966129994,1623.704217727634,50,0.14,275.78,-169.75027528123,13.818950930626059,118.82352941176471,0.34,22.76,0.0,0.0,16.48,39.24
100,26214400,0.0,162.7468658509897,302.5828435270232,18706.212020786013,1610.7468406796715,50,0.26,253.48,-58.341823167540134,7.906946601729583,111.55,0.4,12.7,0.0,0.2,6.94,19.84
