model,metric,mean,std
no_constraint,violations_per_100_steps,42.21892848279662,11.684637493640794
no_constraint,success_rate,0.421,0.0564269439186635
no_constraint,avg_time_to_failure,54.52000320999544,16.893500148357223
no_constraint,mean_episode_length,211.369,19.517279882196696
no_constraint,avg_collisions_per_episode,14.688999999999998,2.232194883965107
no_constraint,avg_episode_reward,38.59724033963867,6.087076835932278
soft_constraint,violations_per_100_steps,9.455024845918157,10.815224309264329
soft_constraint,success_rate,0.05,0.0950263121456368
soft_constraint,avg_time_to_failure,60.19222426972427,50.03053312124435
soft_constraint,mean_episode_length,291.508,15.74656171994381
soft_constraint,avg_collisions_per_episode,14.341,20.363980553909396
soft_constraint,avg_episode_reward,-181.10454765260965,186.73970162743657
hard_constraint,violations_per_100_steps,1.910485203095363,1.411069073859163
hard_constraint,success_rate,0.043,0.0415451561556819
hard_constraint,avg_time_to_failure,67.21760153451923,25.830411184181635
hard_constraint,mean_episode_length,137.767,90.04353183877231
hard_constraint,avg_collisions_per_episode,0.27,0.116661904664719
hard_constraint,avg_episode_reward,0.1075140926670283,3.961405130592732
