iteration,timesteps,max_steps,iter_time_sec,eval_time_sec,elapsed_time_sec,timesteps_per_sec,episodes,success_rate,mean_episode_length,avg_episode_reward,violations_per_100_steps,avg_time_to_failure,failure_rate,avg_collisions_per_episode,avg_oob_per_episode,avg_speed_violations_per_episode,avg_falls_per_episode,avg_total_violations_per_episode
10,2621440,0.0,165.9284133000765,271.2223861939274,1653.265055760974,1579.8620307778183,50,0.22,256.12,37.83413353384472,12.942616224355357,70.27777777777777,0.36,18.92,0.0,0.7,14.98,34.6
20,5242880,0.0,168.44061309681274,301.3589490260929,3601.4653343858663,1556.299250996732,50,0.16,270.22,33.93620839166455,15.63653305698165,69.9047619047619,0.42,31.62,0.0,0.26,13.94,45.82
30,7864320,0.0,164.2672867400106,290.2467129130382,5555.2486084459815,1595.8381318789359,50,0.06,285.26,36.93348027603235,7.576279069767441,118.64285714285714,0.28,16.62,0.0,0.1,3.14,19.86
40,10485760,0.0,163.77144005685113,310.0575388530269,7485.431835328927,1600.6698109816957,50,0.02,295.18,27.50513710733503,9.126666666666667,142.88235294117646,0.34,19.9,0.0,0.12,7.36,27.38
50,13107200,0.0,164.91550535405986,301.48857742198743,9448.585596394027,1589.565513789614,50,0.1,279.48,31.452126005380414,12.242131979695433,118.70588235294117,0.34,19.68,0.0,0.02,16.88,36.58
60,15728640,0.0,165.58749457099475,319.75971857691184,11399.86337352381,1583.114719376391,50,0.14,281.16,35.332221214864404,12.22779696890583,95.84210526315789,0.38,24.08,0.0,0.24,11.64,35.96
70,18350080,0.0,163.7708312261384,308.0924269799143,13363.523524804972,1600.675761595334,50,0.08,288.5,35.42979395117611,11.20342059336824,107.76190476190476,0.42,23.02,0.86,0.42,8.42,32.72
80,20971520,0.0,164.17914837109856,310.141777779907,15306.81554616685,1596.694845848931,50,0.18,278.92,34.799279455565845,22.49489986652607,108.0,0.58,18.16,1.18,0.68,45.68,65.7
90,23592960,0.0,163.35542059503496,306.1231615371071,17273.102170923026,1604.7462584658647,50,0.24,257.72,25.767996860446875,24.897822957160205,101.94594594594595,0.74,22.14,2.64,1.36,44.58,70.72
100,26214400,0.0,165.81927924300544,303.4823160439264,19220.03162613185,1580.901817911247,50,0.38,228.22,38.631739388643766,29.6865320666895,100.04545454545455,0.88,17.58,1.92,2.24,57.04,78.78
110,28835840,0.0,163.39291446399875,317.9631370177958,21160.26805152488,1604.3780163904207,50,0.32,241.94,34.306731424606404,40.59389567283744,83.88372093023256,0.86,23.88,13.72,2.1,66.52,106.22
120,31457280,0.0,164.55671612196602,307.74458576203324,23116.808584815823,1593.031303600543,50,0.28,239.38,25.98792367810267,31.41411724727633,94.28571428571429,0.84,10.62,8.78,2.58,61.54,83.52
130,34078720,0.0,164.33458450692706,306.1654154499993,25060.50575715094,1595.1846094146424,50,0.32,246.88,29.099863951193402,31.491792100282318,106.675,0.8,21.7,8.32,3.28,57.34,90.64
140,36700160,0.0,162.8984815001022,306.4637070700992,27004.38654587092,1609.2476589466276,50,0.3,243.22,28.127388831107528,35.88441917808784,91.14634146341463,0.82,20.48,1.9,2.54,72.12,97.04
